cipher_id,openssl,gnutls,standard
"0x00,0x47-4F",-,-,Reserved to avoid conflicts with         
"0x00,0x50-58",-,-,Reserved to avoid conflicts
"0x00,0x59-5C",-,-,Reserved to avoid conflicts with         
"0x00,0x5D-5F",-,-,Unassigned
"0x00,0x60-66",-,-,Reserved to avoid conflicts with
"0x00,0x68",-,-,TLS_DH_DSS_WITH_AES_256_CBC_SHA256
"0x00,0x69",-,-,TLS_DH_RSA_WITH_AES_256_CBC_SHA256
"0x00,0x6E-83",-,-,Unassigned
"0x00,0x85",-,-,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA
"0x00,0x86",-,-,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA
"0x00,0x8E",-,-,TLS_DHE_PSK_WITH_RC4_128_SHA
"0x00,0x8F",-,-,TLS_DHE_PSK_WITH_3DES_EDE_CBC_SHA
"0x00,0x97",-,-,TLS_DH_DSS_WITH_SEED_CBC_SHA
"0x00,0x98",-,-,TLS_DH_RSA_WITH_SEED_CBC_SHA
"0x00,0xA0",-,-,TLS_DH_RSA_WITH_AES_128_GCM_SHA256
"0x00,0xA1",-,-,TLS_DH_RSA_WITH_AES_256_GCM_SHA384
"0x00,0xA4",-,-,TLS_DH_DSS_WITH_AES_128_GCM_SHA256
"0x00,0xA5",-,-,TLS_DH_DSS_WITH_AES_256_GCM_SHA384
"0x00,0xA8",-,-,TLS_PSK_WITH_AES_128_GCM_SHA256
"0x00,0xA9",-,-,TLS_PSK_WITH_AES_256_GCM_SHA384
"0x00,0xAA",-,-,TLS_DHE_PSK_WITH_AES_128_GCM_SHA256
"0x00,0xAB",-,-,TLS_DHE_PSK_WITH_AES_256_GCM_SHA384
"0x00,0xAC",-,-,TLS_RSA_PSK_WITH_AES_128_GCM_SHA256
"0x00,0xAD",-,-,TLS_RSA_PSK_WITH_AES_256_GCM_SHA384
"0x00,0xAE",-,-,TLS_PSK_WITH_AES_128_CBC_SHA256
"0x00,0xAF",-,-,TLS_PSK_WITH_AES_256_CBC_SHA384
"0x00,0xB0",-,-,TLS_PSK_WITH_NULL_SHA256
"0x00,0xB1",-,-,TLS_PSK_WITH_NULL_SHA384
"0x00,0xB2",-,-,TLS_DHE_PSK_WITH_AES_128_CBC_SHA256
"0x00,0xB3",-,-,TLS_DHE_PSK_WITH_AES_256_CBC_SHA384
"0x00,0xB4",-,-,TLS_DHE_PSK_WITH_NULL_SHA256
"0x00,0xB5",-,-,TLS_DHE_PSK_WITH_NULL_SHA384
"0x00,0xB6",-,-,TLS_RSA_PSK_WITH_AES_128_CBC_SHA256
"0x00,0xB7",-,-,TLS_RSA_PSK_WITH_AES_256_CBC_SHA384
"0x00,0xB8",-,-,TLS_RSA_PSK_WITH_NULL_SHA256
"0x00,0xB9",-,-,TLS_RSA_PSK_WITH_NULL_SHA384
"0x00,0xBA",-,-,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256
"0x00,0xBB",-,-,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA256
"0x00,0xBC",-,-,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA256
"0x00,0xBD",-,-,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA256
"0x00,0xBE",-,-,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256
"0x00,0xBF",-,-,TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA256
"0x00,0xC0",-,-,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256
"0x00,0xC1",-,-,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256
"0x00,0xC2",-,-,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256
"0x00,0xC3",-,-,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256
"0x00,0xC4",-,-,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256
"0x00,0xC5",-,-,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA256
"0x00,0xC6-FE",-,-,Unassigned
"0x00,0xFF",-,-,TLS_EMPTY_RENEGOTIATION_INFO_SCSV
"0x01-BF,*",-,-,Unassigned
"0xC0,0x01",-,-,TLS_ECDH_ECDSA_WITH_NULL_SHA
"0xC0,0x06",-,-,TLS_ECDHE_ECDSA_WITH_NULL_SHA
"0xC0,0x0B",-,-,TLS_ECDH_RSA_WITH_NULL_SHA
"0xC0,0x10",-,-,TLS_ECDHE_RSA_WITH_NULL_SHA
"0xC0,0x15",-,-,TLS_ECDH_anon_WITH_NULL_SHA
"0xC0,0x33",-,-,TLS_ECDHE_PSK_WITH_RC4_128_SHA
"0xC0,0x34",-,-,TLS_ECDHE_PSK_WITH_3DES_EDE_CBC_SHA
"0xC0,0x35",-,-,TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA
"0xC0,0x36",-,-,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA
"0xC0,0x37",-,-,TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA256
"0xC0,0x38",-,-,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA384
"0xC0,0x39",-,-,TLS_ECDHE_PSK_WITH_NULL_SHA
"0xC0,0x3A",-,-,TLS_ECDHE_PSK_WITH_NULL_SHA256
"0xC0,0x3B",-,-,TLS_ECDHE_PSK_WITH_NULL_SHA384
"0xC0,0x3C",-,-,TLS_RSA_WITH_ARIA_128_CBC_SHA256
"0xC0,0x3D",-,-,TLS_RSA_WITH_ARIA_256_CBC_SHA384
"0xC0,0x3E",-,-,TLS_DH_DSS_WITH_ARIA_128_CBC_SHA256
"0xC0,0x3F",-,-,TLS_DH_DSS_WITH_ARIA_256_CBC_SHA384
"0xC0,0x40",-,-,TLS_DH_RSA_WITH_ARIA_128_CBC_SHA256
"0xC0,0x41",-,-,TLS_DH_RSA_WITH_ARIA_256_CBC_SHA384
"0xC0,0x42",-,-,TLS_DHE_DSS_WITH_ARIA_128_CBC_SHA256
"0xC0,0x43",-,-,TLS_DHE_DSS_WITH_ARIA_256_CBC_SHA384
"0xC0,0x44",-,-,TLS_DHE_RSA_WITH_ARIA_128_CBC_SHA256
"0xC0,0x45",-,-,TLS_DHE_RSA_WITH_ARIA_256_CBC_SHA384
"0xC0,0x46",-,-,TLS_DH_anon_WITH_ARIA_128_CBC_SHA256
"0xC0,0x47",-,-,TLS_DH_anon_WITH_ARIA_256_CBC_SHA384
"0xC0,0x48",-,-,TLS_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256
"0xC0,0x49",-,-,TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384
"0xC0,0x4A",-,-,TLS_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256
"0xC0,0x4B",-,-,TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384
"0xC0,0x4C",-,-,TLS_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256
"0xC0,0x4D",-,-,TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384
"0xC0,0x4E",-,-,TLS_ECDH_RSA_WITH_ARIA_128_CBC_SHA256
"0xC0,0x4F",-,-,TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384
"0xC0,0x50",-,-,TLS_RSA_WITH_ARIA_128_GCM_SHA256
"0xC0,0x51",-,-,TLS_RSA_WITH_ARIA_256_GCM_SHA384
"0xC0,0x52",-,-,TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256
"0xC0,0x53",-,-,TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384
"0xC0,0x54",-,-,TLS_DH_RSA_WITH_ARIA_128_GCM_SHA256
"0xC0,0x55",-,-,TLS_DH_RSA_WITH_ARIA_256_GCM_SHA384
"0xC0,0x56",-,-,TLS_DHE_DSS_WITH_ARIA_128_GCM_SHA256
